"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"국가별",인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%)
"적도기니",0.1,0.2,0.3,0.5,0.8,1.1,1.3,1.6,1.8,2.1,6.0,11.5,13.9,16.4,18.9,21.3,23.8,26.2,-,-,-,-
"에리트레아",0.1,0.2,0.2,-,-,-,-,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,-,-,-,-
"에티오피아",0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.8,1.1,2.9,4.6,7.7,13.9,15.4,18.6,20.0,22.0,24.0,16.7
"가봉",1.2,1.3,1.9,2.7,3.0,4.9,5.5,5.8,7.5,9.5,13.0,18.0,24.0,30.5,38.1,45.8,48.1,50.3,59.6,61.0,62.0,-
"감비아",0.9,1.3,1.8,2.4,3.3,3.8,5.2,6.2,6.9,7.6,9.2,10.9,12.4,14.0,15.6,18.2,21.4,25.1,32.6,34.5,36.5,-
"가나",0.2,0.2,0.8,1.2,1.7,1.8,2.7,3.9,4.3,5.4,7.8,9.0,10.6,15.0,19.0,23.0,28.0,37.9,43.0,22.1,58.0,68.6
"기니",0.1,0.2,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.9,1.0,2.0,3.1,4.5,6.4,9.2,13.1,18.7,21.8,23.0,26.0,-
"기니비사우",0.2,0.3,1.0,1.4,1.8,1.9,2.1,2.2,2.4,2.3,2.5,2.7,2.9,3.1,3.3,6.1,13.8,14.8,15.7,19.4,22.9,-
"케냐",0.3,0.6,1.2,2.9,3.0,3.1,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13.0,16.5,16.6,16.6,17.8,19.5,22.7,29.5,-
"레소토",0.2,0.3,1.1,1.5,2.2,2.6,3.0,3.4,3.6,3.7,3.9,7.0,10.0,15.0,22.0,25.0,32.5,39.0,40.8,42.3,43.0,-
"라이베리아",0.0,0.0,0.0,0.0,0.0,-,-,0.6,0.5,2.0,2.3,2.5,2.6,3.2,5.4,10.0,15.7,16.3,18.9,22.0,25.6,-
"리비아",0.2,0.4,2.2,2.8,3.5,3.9,4.3,4.7,9.0,10.8,14.0,14.0,15.2,16.5,17.8,-,-,-,-,-,-,-
"마다가스카르",0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,1.7,1.6,1.7,1.9,2.3,3.0,3.7,4.2,4.7,9.8,15.0,-,-,-
"말라위",0.1,0.2,0.2,0.3,0.3,0.4,0.4,1.0,0.7,1.1,2.3,3.3,4.4,5.1,5.8,6.0,6.3,7.0,8.0,9.9,-,-
"말리",0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.6,1.8,2.0,2.2,2.8,3.5,7.0,10.3,14.0,18.9,21.4,24.2,27.4,-
"모리타니",0.2,0.3,0.4,0.4,0.5,0.7,1.0,1.4,1.9,2.3,4.0,4.5,5.0,6.2,11.8,17.6,24.1,24.2,35.1,36.7,40.8,-
"모리셔스",7.3,8.8,10.3,12.2,13.7,15.2,16.7,20.2,21.8,22.5,28.3,35.0,35.4,40.1,44.8,50.1,52.2,55.4,58.6,61.7,64.9,-
"모로코",0.7,1.4,2.4,3.4,11.6,15.1,19.8,21.5,33.1,41.3,52.0,46.1,55.4,56.0,56.8,57.1,58.3,61.8,64.8,84.1,84.1,88.1
"모잠비크",0.1,0.2,0.3,0.4,0.7,0.9,0.8,0.9,1.6,2.7,4.2,4.6,5.0,5.5,6.0,6.5,7.0,7.8,10.9,15.1,16.5,-
"나미비아",1.6,2.4,2.6,3.4,3.8,4.0,4.4,4.8,5.3,6.5,11.6,12.0,12.9,13.9,14.8,25.7,31.0,36.8,40.0,40.5,41.0,-
"니제르",0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.7,0.8,0.8,0.9,1.1,1.2,1.2,2.5,4.3,10.2,-,-,-,-
"나이지리아",0.1,0.1,0.3,0.6,1.3,3.5,5.5,6.8,8.0,9.3,11.5,13.8,16.1,19.1,21.0,24.5,25.7,28.0,31.9,33.6,35.5,-
"레위니옹",13.8,16.3,20.0,23.7,25.9,28.1,30.2,32.3,34.3,36.3,-,-,-,-,-,-,-,-,-,-,-,-
"르완다",0.1,0.2,0.3,0.4,0.4,0.6,-,2.1,4.5,7.7,8.0,7.0,8.0,9.0,10.6,18.0,20.0,17.2,25.0,26.0,23.8,-
"상투메프린시페",4.6,6.3,7.6,10.2,13.3,13.8,14.2,14.6,15.5,16.4,18.8,20.2,21.6,23.0,24.4,25.8,28.0,29.9,31.9,32.0,33.0,-
